NR,NREF,NFIX,NAUTH,LINES_SUM,LINES_MAX,LINES_AVG,CHURN_SUM,CHURN_MAX,CHURN_AVG,CHGSET_SUM,CHGSET_MAX,CHGSET_AVG,AGE,AGE_WEIGHTED,Impl,LOC.A,LOC.M,LOC.D,Size,Violations.Injected,Violations,Size.Next,Faultiness
1,0,0,1,61,61,61,61,61,61,2,2,2,8,NA,1,61,0,0,63,0,0,58,FALSE
13,0,1,2,492,193,40,334,71,28,47,11,3,7,NA,12,413,15,79,54,0,0,34,TRUE
2,0,0,2,18,18,9,18,18,9,13,11,6,7,NA,2,18,1,0,14,0,0,79,TRUE
8,0,0,2,363,229,44,237,103,30,35,11,4,7,NA,8,300,13,63,53,9,9,43,TRUE
6,0,0,1,162,76,26,160,74,26,29,11,4,7,NA,6,161,6,1,39,12,12,47,TRUE
3,0,0,1,77,77,25,77,77,25,6,2,2,7,NA,3,77,2,0,32,0,0,29,FALSE
1,0,0,1,28,28,28,28,28,28,7,7,7,7,NA,1,28,0,0,30,0,0,12,FALSE
3,0,0,1,290,280,96,280,272,94,11,7,3,7,NA,3,285,7,5,107,2,2,48,TRUE
1,0,0,1,23,23,23,23,23,23,4,4,4,7,NA,1,23,0,0,25,0,0,21,FALSE
2,0,0,1,136,113,68,136,113,68,6,4,3,7,NA,2,136,1,0,74,1,1,28,TRUE
4,0,0,1,156,102,38,138,86,34,15,7,3,7,NA,4,147,6,9,54,8,8,40,FALSE
3,0,0,1,198,100,66,198,100,66,9,4,3,6,NA,3,198,5,0,81,12,12,79,TRUE
1,0,0,1,78,78,78,78,78,78,3,3,3,6,NA,1,78,0,0,80,0,0,55,TRUE
4,0,2,3,79,76,39,63,60,31,9,4,2,6,NA,2,71,3,8,46,4,4,59,TRUE
10,0,5,3,264,230,52,210,204,42,26,5,2,6,NA,5,237,23,27,69,0,0,33,TRUE
6,0,0,2,181,123,29,101,43,17,19,5,3,6,NA,6,141,11,40,44,2,2,22,TRUE
33,0,12,2,888,300,41,554,182,27,64,5,1,6,NA,21,721,127,167,75,0,0,84,TRUE
10,0,1,1,240,132,26,96,78,10,29,5,2,6,NA,9,168,29,72,37,0,0,29,TRUE
2,0,0,1,18,9,9,18,9,9,3,2,1,5,NA,2,18,1,0,18,0,0,12,FALSE
1,0,0,1,85,85,85,85,85,85,5,5,5,5,NA,1,85,0,0,90,0,0,14,FALSE
1,0,0,1,62,62,62,62,62,62,2,2,2,2,NA,1,62,0,0,64,4,4,51,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,44,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,57,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,20,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,25,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,25,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,28,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,12,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,56,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,35,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,35,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,48,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,29,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,44,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,116,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,44,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,37,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,25,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,192,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,395,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,78,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,0,0,0,0,0,0,0,27,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,0,0,0,0,0,0,0,35,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,0,0,0,0,0,0,0,38,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,0,0,0,0,0,0,0,51,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-2,NA,0,0,0,0,0,0,0,12,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-2,NA,0,0,0,0,0,0,0,27,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-3,NA,0,0,0,0,0,0,0,36,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-3,NA,0,0,0,0,0,0,0,53,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-3,NA,0,0,0,0,0,0,0,20,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,0,0,0,0,0,0,0,19,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,0,0,0,0,0,0,0,25,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,0,0,0,0,0,0,0,15,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,0,0,0,0,0,0,0,53,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,0,0,0,0,0,0,0,47,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,44,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,17,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,149,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,19,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,23,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,103,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,84,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,12,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,60,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,19,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,90,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,44,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,46,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,39,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,28,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,98,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,60,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,102,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,73,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,93,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,35,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,46,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,54,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-7,NA,0,0,0,0,0,0,0,20,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-7,NA,0,0,0,0,0,0,0,55,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-7,NA,0,0,0,0,0,0,0,40,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-7,NA,0,0,0,0,0,0,0,53,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-8,NA,0,0,0,0,0,0,0,47,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-8,NA,0,0,0,0,0,0,0,126,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-8,NA,0,0,0,0,0,0,0,57,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-9,NA,0,0,0,0,0,0,0,24,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,29,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,37,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,99,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,35,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,52,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,55,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-11,NA,0,0,0,0,0,0,0,49,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-11,NA,0,0,0,0,0,0,0,35,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-11,NA,0,0,0,0,0,0,0,57,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-11,NA,0,0,0,0,0,0,0,26,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,50,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,50,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,50,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,24,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,50,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,15,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-17,NA,0,0,0,0,0,0,0,5,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,39,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,20,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,28,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,44,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,21,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,21,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,14,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,16,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,39,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,89,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,44,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,29,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,43,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,61,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,61,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,88,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,22,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,35,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,81,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,21,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,25,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,48,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,35,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,101,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,120,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,19,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,22,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,46,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,40,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-26,NA,0,0,0,0,0,0,0,56,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,29,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,55,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,53,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,52,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,38,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,48,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,34,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,35,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,111,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,121,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,62,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,145,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,36,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,81,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-29,NA,0,0,0,0,0,0,0,65,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-29,NA,0,0,0,0,0,0,0,94,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-29,NA,0,0,0,0,0,0,0,83,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-37,NA,0,0,0,0,0,0,0,59,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-37,NA,0,0,0,0,0,0,0,51,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-37,NA,0,0,0,0,0,0,0,31,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-38,NA,0,0,0,0,0,0,0,92,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-38,NA,0,0,0,0,0,0,0,149,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-38,NA,0,0,0,0,0,0,0,21,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,14,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,35,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,35,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,42,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,20,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,17,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,140,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,14,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,35,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,17,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,100,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,53,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,346,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,95,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,53,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,3,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-40,NA,0,0,0,0,0,0,0,22,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-40,NA,0,0,0,0,0,0,0,11,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-40,NA,0,0,0,0,0,0,0,5,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-41,NA,0,0,0,0,0,0,0,42,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-41,NA,0,0,0,0,0,0,0,28,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,-41,NA,0,0,0,0,0,0,0,7,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-41,NA,0,0,0,0,0,0,0,38,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-41,NA,0,0,0,0,0,0,0,37,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-41,NA,0,0,0,0,0,0,0,2,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-41,NA,0,0,0,0,0,0,0,35,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-53,NA,0,0,0,0,0,0,0,94,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-53,NA,0,0,0,0,0,0,0,10,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-53,NA,0,0,0,0,0,0,0,82,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,650,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,680,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,652,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,689,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,693,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,669,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,649,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-63,NA,0,0,0,0,0,0,0,23,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-63,NA,0,0,0,0,0,0,0,44,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-63,NA,0,0,0,0,0,0,0,45,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-63,NA,0,0,0,0,0,0,0,35,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-63,NA,0,0,0,0,0,0,0,20,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-63,NA,0,0,0,0,0,0,0,41,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-63,NA,0,0,0,0,0,0,0,54,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-89,NA,0,0,0,0,0,0,0,9,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,-90,NA,0,0,0,0,0,0,0,105,TRUE
10,0,1,1,75,28,11,43,2,7,31,8,4,27,9,6,59,10,16,28,1,6,59,FALSE
12,0,0,2,29,9,4,25,5,4,29,8,4,27,9,6,27,5,2,15,4,5,14,FALSE
7,0,2,1,64,64,64,-64,-64,-64,3,3,3,27,9,1,0,0,64,12,0,1,15,FALSE
9,0,1,3,65,26,10,61,22,10,31,8,4,27,9,6,63,22,2,36,1,2,32,FALSE
6,0,1,1,0,0,0,0,0,0,2,2,2,27,9,1,0,1,0,7,0,0,16,FALSE
5,0,0,2,0,0,0,0,0,0,9,5,4,27,9,2,0,3,0,12,0,1,12,FALSE
5,0,0,1,9,9,9,9,9,9,4,4,4,27,9,1,9,0,0,17,0,0,7,FALSE
